Name,age group,bib number,Age,Prj. Finish,State,5K,10K,15K,20K,HALF,25K,30K,35K,40K,Finish Net
Korir, Wesley (KEN),Male 18-39,8,29,-,,00:15:23,00:31:02,00:46:49,01:02:42,01:06:11,01:18:07,01:33:45,01:49:44,02:05:27,02:12:40
Cherop, Sharon (KEN),Female 18-39,F4,28,-,,00:18:51,00:37:15,00:55:15,01:13:25,01:17:08,01:31:02,01:48:51,02:06:42,02:24:07,02:31:50
Matebo, Levy (KEN),Male 18-39,4,22,-,,00:15:23,00:31:02,00:46:48,01:02:42,01:06:11,01:18:07,01:33:06,01:48:47,02:05:27,02:13:06
Sumgong, Jemima Jelagat (KEN),Female 18-39,F16,27,-,,00:18:50,00:37:16,00:55:15,01:13:26,01:17:09,01:31:02,01:48:51,02:06:42,02:24:07,02:31:52
Kipyego, Bernard (KEN),Male 18-39,9,25,-,,00:15:23,00:31:02,00:46:49,01:02:42,01:06:11,01:18:07,01:33:31,01:49:46,02:05:39,02:13:13
Rono, Georgina (KEN),Female 18-39,F11,31,-,,00:18:50,00:37:15,00:55:15,01:13:25,01:17:08,01:31:02,01:48:51,02:06:43,02:24:35,02:33:09
Hartmann, Jason (USA),Male 18-39,17,31,-,CO,00:15:23,00:31:03,00:46:48,01:02:42,01:06:10,01:18:25,01:34:28,01:50:41,02:07:02,02:14:31
Dado, Firehiwot (ETH),Female 18-39,F6,28,-,,00:18:50,00:37:15,00:55:15,01:13:25,01:17:09,01:31:02,01:48:51,02:07:38,02:26:28,02:34:56
Chebet, Wilson (KEN),Male 18-39,5,26,-,,00:15:24,00:31:02,00:46:49,01:02:42,01:06:11,01:18:07,01:33:32,01:50:19,02:07:21,02:14:56
Sigei, Diana (KEN),Female 18-39,F15,24,-,,00:18:51,00:37:15,00:55:15,01:13:26,01:17:09,01:31:02,01:49:50,02:08:59,02:27:31,02:35:40
Korir, Laban (KEN),Male 18-39,7,26,-,,00:15:23,00:31:02,00:46:49,01:02:43,01:06:11,01:18:07,01:33:30,01:50:06,02:07:10,02:15:29
Jeptoo, Rita (KEN),Female 18-39,F8,31,-,,00:18:51,00:37:16,00:55:15,01:13:41,01:17:39,01:31:49,01:50:31,02:09:18,02:27:38,02:35:53
Butter, Michel (NED),Male 18-39,19,26,-,,00:15:23,00:31:03,00:46:50,01:02:43,01:06:11,01:18:26,01:34:47,01:51:51,02:08:49,02:16:38
Fujita, Mayumi (JPN),Female 18-39,F20,28,-,,00:18:51,00:37:17,00:55:18,01:13:47,01:17:47,01:32:26,-,02:12:03,02:30:51,02:39:11
Barmasai, David (KEN),Male 18-39,10,23,-,,00:15:23,00:31:02,00:46:48,01:02:42,01:06:10,01:18:07,01:34:03,01:51:10,02:09:10,02:17:16
Leonteva, Nadezdha (RUS),Female 18-39,F17,27,-,,00:18:51,00:37:18,00:55:16,01:13:27,01:17:14,01:31:07,01:49:47,02:10:00,02:30:40,02:40:40
Tamura, Hideaki (JPN),Male 18-39,41,23,-,,00:15:29,00:31:09,00:46:49,01:02:44,01:06:11,01:18:45,01:35:52,01:53:17,02:10:45,02:18:15
Pretot, Svetlana (FRA),Female 40-44,F102,40,-,,00:19:11,00:38:10,00:56:57,01:15:44,01:19:52,01:34:32,01:53:45,02:13:19,02:32:36,02:40:50
Kisorio, Mathew (KEN),Male 18-39,15,22,-,,00:15:23,00:31:03,00:46:48,01:02:42,01:06:10,01:18:07,01:33:06,01:48:57,02:08:03,02:18:15
Piers, Sheri (USA),Female 40-44,F104,40,-,ME,00:19:12,00:38:09,00:56:57,01:15:45,01:19:54,01:34:36,01:54:06,02:13:54,02:33:20,02:41:55
Chichester, Tim (USA),Male 18-39,184,23,-,NY,00:15:59,00:32:19,00:48:41,01:05:03,01:08:42,01:21:43,01:38:52,01:56:10,02:13:33,02:21:10
Getaneh, Genet (ETH),Female 18-39,F14,26,-,,00:18:50,00:37:15,00:55:15,01:13:26,01:17:09,01:31:02,01:49:47,02:10:41,02:32:23,02:42:11
Reyes, Sergio (USA),Male 18-39,20,30,-,CA,00:15:22,00:31:11,00:47:19,01:04:03,01:07:44,01:20:48,01:38:09,01:56:04,02:14:12,02:22:06
Zyusko, Larisa (RUS),Female 40-44,F101,42,-,,00:19:12,00:38:13,00:57:22,01:16:57,01:21:11,01:36:23,01:56:18,02:17:56,02:38:43,02:47:47
Martin, Brendan (USA),Male 18-39,44,23,-,MI,00:16:58,00:33:53,00:50:44,01:07:41,01:11:22,01:24:35,01:41:48,01:59:02,02:15:26,02:22:32
Croft, Sheila (CAN),Female 18-39,F37,37,-,WA,00:18:51,00:37:21,00:56:14,01:15:53,01:20:11,01:35:53,01:56:58,02:18:44,02:39:31,02:48:31
Gebremariam, Gebregziabher (ETH),Male 18-39,2,27,-,,00:15:23,00:31:03,00:46:49,01:02:43,01:06:11,01:18:08,01:34:32,01:53:28,02:13:50,02:22:56
Keating, Paula (CAN),Female 45-49,F111,45,-,NB,00:19:47,00:39:37,00:59:27,01:19:42,01:24:02,01:39:37,01:59:36,02:19:56,02:40:06,02:48:58
Steidl, Uli (USA),Male 40-44,85,40,-,WA,00:16:04,00:32:41,00:49:40,01:06:53,01:10:36,01:23:46,01:41:10,01:58:52,02:15:30,02:23:08
Dionne, Hilary (USA),Female 18-39,F29,26,-,MA,00:19:36,00:39:11,00:58:31,01:18:23,01:22:43,01:38:23,01:59:13,02:20:34,02:42:02,02:51:56
Tenorio, Franklin (ECU),Male 40-44,76,42,-,CO,00:15:24,00:31:30,00:48:03,01:05:05,01:08:47,01:22:14,01:40:14,01:58:27,02:15:54,02:24:04
Miller, Shannon (USA),Female 18-39,F25,27,-,FL,00:18:53,00:37:38,00:57:24,01:18:12,01:22:36,01:39:31,02:01:26,02:23:22,02:45:42,02:55:47
Shinozaki, Kota (JPN),Male 18-39,42,28,-,,00:15:28,00:31:11,00:47:19,01:04:03,01:07:42,01:20:59,01:38:43,01:57:58,02:17:14,02:25:45
Willard, Lindsay (USA),Female 18-39,1905,33,-,MA,00:19:44,00:40:03,01:00:34,01:21:11,01:25:33,01:41:49,02:03:22,02:25:14,02:46:25,02:55:53
Hayasaka, Koji (JPN),Male 18-39,46,28,-,,00:17:04,00:34:26,00:51:47,01:09:20,01:13:02,01:26:29,01:43:57,02:01:47,02:19:29,02:27:08
Nicholson, Jen (CAN),Female 40-44,F110,43,-,PE,00:19:47,00:39:37,00:59:23,01:19:42,01:24:03,01:39:36,02:01:12,02:24:11,02:46:03,02:56:01
Mindel, Scott (USA),Male 18-39,38,25,-,CT,00:17:20,00:34:36,00:52:03,01:09:10,01:12:49,01:26:12,01:43:42,02:01:21,02:19:11,02:27:15
Kudo, Akiko (JPN),Female 18-39,F31,28,-,,00:19:19,00:39:38,01:00:35,01:21:59,01:26:34,01:43:07,02:04:37,02:26:15,02:47:02,02:56:20
Hensley, Matt (USA),Male 18-39,33,24,-,FL,00:17:25,00:35:10,00:52:58,01:10:45,01:14:37,01:28:25,01:46:21,02:04:12,02:21:36,02:29:17
Lambert, Meredith (USA),Female 18-39,1363,28,-,PA,00:19:55,00:39:31,00:59:22,01:19:35,01:23:54,01:39:54,02:01:19,02:23:34,02:46:23,02:56:42
Bedoya, David (ESP),Male 18-39,30,35,-,MA,00:17:14,00:34:34,00:52:01,01:09:26,01:13:10,01:26:46,01:44:44,02:03:16,02:21:33,02:29:34
Custer, Dalena (USA),Female 18-39,1620,30,-,NC,00:20:01,00:40:08,01:00:42,01:21:38,01:26:16,01:43:07,02:05:03,02:27:04,02:48:44,02:58:00
O'Connor, Kieran (USA),Male 18-39,116,25,-,NY,00:16:54,00:34:08,00:51:27,01:09:13,01:12:58,01:26:34,01:45:01,02:03:43,02:21:57,02:30:09
Stanton, Rachel (AUS),Female 40-44,4237,42,-,,00:21:09,00:42:03,01:03:03,01:24:11,01:28:45,01:45:13,02:06:38,02:27:56,02:49:04,02:58:14
Krong, Jake (USA),Male 18-39,29,27,-,UT,00:16:28,00:32:58,00:49:36,01:06:38,01:10:19,01:23:55,01:42:06,02:01:18,02:21:09,02:30:21
